season,episode,contestant,tribe,eliminated,starting_tribe,starting_tribe_size,tribe_size,remaining,merged,swap_phase,immunity_won,tribe_immunity,prior_votes_against,times_targeted,has_idol,in_main_alliance,confessional_count,visibility_score,visibility_spike,negative_edit_score,strategic_isolation,prior_perf_score,is_returnee,season_returnee_count,advantages_held,idols_played_this_ep,vote_steals_active,same_starting_tribe_remaining,voting_minority_score,confessional_share,narrative_intensity,swing_vote_potential,is_returnee_first_three_eps
1,1,B.B.,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.12,0.0,0.0,0
1,1,Colleen,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.0,0.0,0.0,0
1,1,Dirk,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.04,0.0,0.0,0
1,1,Gervase,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.0,0.0,0.0,0
1,1,Greg,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.0,0.0,0.0,0
1,1,Gretchen,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.04,0.0,0.0,0
1,1,Jenna,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.0,0.0,0.0,0
1,1,Joel,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.08,0.0,0.0,0
1,1,Kelly,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.08,0.0,0.0,0
1,1,Ramona,Pagong,0,Pagong,8,8,16,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.08,0.0,0.0,0
1,1,Richard,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.16,0.0,0.0,0
1,1,Rudy,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.16,0.0,0.0,0
1,1,Sean,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.04,0.0,0.0,0
1,1,Sonja,Tagi,1,Tagi,8,8,16,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.08,0.0,0.0,0
1,1,Stacey,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.04,0.0,0.0,0
1,1,Sue,Tagi,0,Tagi,8,8,16,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,8,0.5,0.08,0.0,0.0,0
1,2,B.B.,Pagong,1,Pagong,8,8,15,0,0,0,0,0,0,0,0,8.0,0.12,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.14035087719298245,0.0,0.0,0
1,2,Colleen,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.05263157894736842,0.0,0.0,0
1,2,Dirk,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,1,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0
1,2,Gervase,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.10526315789473684,0.0,0.0,0
1,2,Greg,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.07017543859649122,0.0,0.0,0
1,2,Gretchen,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,6.0,0.04,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.10526315789473684,0.0,0.0,0
1,2,Jenna,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.03508771929824561,0.0,0.0,0
1,2,Joel,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,2.0,0.08,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.03508771929824561,0.0,0.0,0
1,2,Kelly,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,0,1.0,0.08,0.0,0.0,1.0,0.0,0,0,0,0,0,7,1.0,0.017543859649122806,0.0,0.0,0
1,2,Ramona,Pagong,0,Pagong,8,8,15,0,0,0,0,0,0,0,0,9.0,0.08,0.0,0.0,0.5,1.0,0,0,0,0,0,8,0.5,0.15789473684210525,0.0,0.0,0
1,2,Richard,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,0,4.0,0.16,0.0,0.0,1.0,0.0,0,0,0,0,0,7,1.0,0.07017543859649122,0.0,0.0,0
1,2,Rudy,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,1,3.0,0.16,0.0,0.0,0.0,0.0,0,0,0,0,0,7,0.0,0.05263157894736842,0.0,0.0,0
1,2,Sean,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,1,5.0,0.04,0.0,0.0,0.0,0.0,0,0,0,0,0,7,0.0,0.08771929824561403,0.0,0.0,0
1,2,Stacey,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,0,2.0,0.04,0.0,0.0,1.0,0.0,0,0,0,0,0,7,1.0,0.03508771929824561,0.0,0.0,0
1,2,Sue,Tagi,0,Tagi,8,7,15,0,0,0,1,0,0,0,1,2.0,0.08,0.0,0.0,0.0,0.0,0,0,0,0,0,7,0.0,0.03508771929824561,0.0,0.0,0
1,3,Colleen,Pagong,0,Pagong,8,7,14,0,0,0,1,0,0,0,1,5.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.75,0,0,0,0,0,7,0.0,0.0847457627118644,0.0,0.0,0
1,3,Dirk,Tagi,0,Tagi,8,7,14,0,0,0,0,0,0,0,1,3.0,0.02,-0.02,0.0,0.0,0.25,0,0,0,0,0,7,0.0,0.05084745762711865,0.0,0.0,0
1,3,Gervase,Pagong,0,Pagong,8,7,14,0,0,0,1,0,0,0,1,5.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.75,0,0,0,0,0,7,0.0,0.0847457627118644,0.0,0.0,0
1,3,Greg,Pagong,0,Pagong,8,7,14,0,0,0,1,0,0,0,0,4.0,0.03508771929824561,0.03508771929824561,0.0,1.0,0.75,0,0,0,0,0,7,1.0,0.06779661016949153,0.0,0.0,0
